regime,depth_m,validation_target,n_obs,coverage_fraction,rmse_c,mae_c,bias_c,correlation,median_abs_error_c,p95_abs_error_c,metric_status
arabian_sea,125,independent_argo,1540,0.002767,1.1993,1.078,1.0138,0.1891,1.184,1.856,computed
arabian_sea,150,glorys,509600,0.915477,1.5538,1.3247,1.2744,0.7513,1.239,2.816,computed
arabian_sea,150,independent_argo,1360,0.002443,0.2764,0.2243,0.1475,0.624,0.1886,0.5131,computed
arabian_sea,200,glorys,502400,0.902542,1.1517,0.9651,0.9091,0.5386,0.9296,1.9901,computed
arabian_sea,200,independent_argo,1232,0.002213,1.3372,1.2727,1.2727,-0.1295,1.1979,2.1157,computed
arabian_sea,300,glorys,484400,0.870206,1.0921,0.9817,0.9761,-0.4341,1.009,1.6818,computed
arabian_sea,300,independent_argo,976,0.001753,0.5916,0.5469,0.5449,0.1538,0.5288,0.9167,computed
arabian_sea,500,glorys,460800,0.827809,0.3606,0.2934,0.0685,-0.2195,0.2564,0.6594,computed
arabian_sea,500,independent_argo,768,0.00138,0.259,0.2101,0.1024,-0.3421,0.1695,0.5251,computed
arabian_sea,700,glorys,445200,0.799784,0.562,0.4731,-0.4684,0.3604,0.4383,1.0236,computed
arabian_sea,700,independent_argo,696,0.00125,1.0067,0.987,0.987,0.1836,1.0394,1.2308,computed
arabian_sea,1000,glorys,427600,0.768167,0.5806,0.4832,0.2913,0.0602,0.4281,1.0683,computed
arabian_sea,1000,independent_argo,664,0.001193,2.9288,2.9116,2.9116,-0.2451,2.93,3.4055,computed
bay_of_bengal,0,glorys,560000,1.0,1.3492,1.0921,1.0903,0.2055,0.8962,2.8278,computed
bay_of_bengal,0,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,5,glorys,560000,1.0,1.0795,0.8586,0.8525,0.5983,0.7476,2.2631,computed
bay_of_bengal,5,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,10,glorys,560000,1.0,1.0748,0.8348,0.8217,0.5378,0.7038,2.2892,computed
bay_of_bengal,10,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,20,glorys,560000,1.0,1.0677,0.8369,0.8115,0.5073,0.6849,2.0834,computed
bay_of_bengal,20,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,30,glorys,560000,1.0,1.2738,0.971,0.9345,-0.3251,0.7689,2.6082,computed
bay_of_bengal,30,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,50,glorys,560000,1.0,1.0486,0.8328,0.359,-0.0564,0.6888,2.1193,computed
bay_of_bengal,50,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,75,glorys,560000,1.0,1.0589,0.8301,0.0482,0.0289,0.7289,2.0922,computed
bay_of_bengal,75,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,100,glorys,560000,1.0,1.2947,0.926,0.6111,0.3599,0.6379,2.8895,computed
bay_of_bengal,100,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,125,glorys,560000,1.0,2.2164,1.727,1.3997,0.3902,1.3697,4.4067,computed
bay_of_bengal,125,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,150,glorys,560000,1.0,2.2708,1.8592,1.7779,0.3417,1.6669,4.2435,computed
bay_of_bengal,150,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,200,glorys,560000,1.0,1.7832,1.5385,1.5253,0.1841,1.4787,3.1237,computed
bay_of_bengal,200,independent_argo,0,0.0,,,,,,,no_finite_observations
bay_of_bengal,300,glorys,560000,1.0,0.6756,0.5571,0.4734,0.0376,0.5075,1.2489,computed
bay_of_bengal,300,independent_argo,0,0.0,,,,,,,no_finite_observations
