regime,validation_target,depth_m,n_obs,coverage_fraction,rmse_c,mae_c,bias_c,median_abs_error_c,std_error_c,p90_abs_error_c,p95_abs_error_c,min_error_c,max_error_c,pearson_r,metric_status
arabian_sea,independent_argo,100,1668,0.002996,3.2662,3.1659,3.1659,3.3335,0.803,4.058,4.1294,0.6627,4.2203,0.0707,computed
arabian_sea,independent_argo,125,1540,0.002767,1.1993,1.078,1.0138,1.184,0.6406,1.6809,1.856,-0.8499,2.4006,0.1891,computed
arabian_sea,independent_argo,150,1360,0.002443,0.2764,0.2243,0.1475,0.1886,0.2338,0.4524,0.5131,-0.4071,0.8949,0.624,computed
arabian_sea,independent_argo,200,1232,0.002213,1.3372,1.2727,1.2727,1.1979,0.4105,1.8723,2.1157,0.5701,2.6934,-0.1295,computed
arabian_sea,independent_argo,300,976,0.001753,0.5916,0.5469,0.5449,0.5288,0.2302,0.8093,0.9167,-0.1574,1.2222,0.1538,computed
arabian_sea,independent_argo,500,768,0.00138,0.259,0.2101,0.1024,0.1695,0.2379,0.4405,0.5251,-0.3658,0.6297,-0.3421,computed
arabian_sea,independent_argo,700,696,0.00125,1.0067,0.987,0.987,1.0394,0.1983,1.2013,1.2308,0.4223,1.3082,0.1836,computed
arabian_sea,independent_argo,1000,664,0.001193,2.9288,2.9116,2.9116,2.93,0.3168,3.3246,3.4055,2.1556,3.5765,-0.2451,computed
arabian_sea,independent_argo,ALL,25904,0.003102,1.8488,1.5654,1.5333,1.4684,1.033,2.9526,3.3569,-2.4728,4.2203,0.9876,computed
bay_of_bengal,glorys,0,560000,1.0,1.3492,1.0921,1.0903,0.8962,0.7948,2.3112,2.8278,-0.3231,4.0843,0.2055,computed
bay_of_bengal,glorys,5,560000,1.0,1.0795,0.8586,0.8525,0.7476,0.6622,1.7169,2.2631,-0.2592,3.9118,0.5983,computed
bay_of_bengal,glorys,10,560000,1.0,1.0748,0.8348,0.8217,0.7038,0.6929,1.7981,2.2892,-0.3662,4.0145,0.5378,computed
bay_of_bengal,glorys,20,560000,1.0,1.0677,0.8369,0.8115,0.6849,0.6938,1.7711,2.0834,-0.5026,3.9853,0.5073,computed
bay_of_bengal,glorys,30,560000,1.0,1.2738,0.971,0.9345,0.7689,0.8657,2.2918,2.6082,-0.5047,3.9062,-0.3251,computed
bay_of_bengal,glorys,50,560000,1.0,1.0486,0.8328,0.359,0.6888,0.9853,1.7081,2.1193,-1.8674,3.6169,-0.0564,computed
bay_of_bengal,glorys,75,560000,1.0,1.0589,0.8301,0.0482,0.7289,1.0578,1.5247,2.0922,-2.1991,4.4476,0.0289,computed
bay_of_bengal,glorys,100,560000,1.0,1.2947,0.926,0.6111,0.6379,1.1414,2.1221,2.8895,-2.0421,5.2108,0.3599,computed
bay_of_bengal,glorys,125,560000,1.0,2.2164,1.727,1.3997,1.3697,1.7186,3.8653,4.4067,-2.9054,5.8408,0.3902,computed
bay_of_bengal,glorys,150,560000,1.0,2.2708,1.8592,1.7779,1.6669,1.4126,3.7803,4.2435,-3.5131,5.9096,0.3417,computed
bay_of_bengal,glorys,200,560000,1.0,1.7832,1.5385,1.5253,1.4787,0.9237,2.8016,3.1237,-1.2079,4.2941,0.1841,computed
bay_of_bengal,glorys,300,560000,1.0,0.6756,0.5571,0.4734,0.5075,0.4821,1.0773,1.2489,-1.7237,2.1709,0.0376,computed
bay_of_bengal,glorys,500,560000,1.0,0.4823,0.3754,-0.3146,0.3162,0.3655,0.7473,0.9295,-2.7732,0.6189,0.0753,computed
bay_of_bengal,glorys,700,560000,1.0,0.7364,0.6313,-0.595,0.6075,0.434,1.1322,1.3051,-2.7334,0.576,-0.2224,computed
bay_of_bengal,glorys,1000,560000,1.0,0.6296,0.5389,0.3616,0.5094,0.5154,1.0124,1.1344,-1.1174,1.6813,-0.1813,computed
bay_of_bengal,glorys,ALL,8400000,1.0,1.3084,0.9606,0.6771,0.7042,1.1195,2.2123,2.8416,-3.5131,5.9096,0.9906,computed
bay_of_bengal,independent_argo,0,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,5,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,10,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,20,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,30,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,50,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,75,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,100,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,125,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,150,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,200,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,300,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,500,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,700,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,1000,0,0.0,,,,,,,,,,,no_finite_observations
bay_of_bengal,independent_argo,ALL,0,0.0,,,,,,,,,,,no_finite_observations
